Date,Ship,Value
2025-02-18,Ship_115,1.0
2025-02-18,Ship_114,1.0
2025-02-19,Ship_115,1.0
2025-02-19,Ship_114,1.0
2025-02-20,Ship_115,1.0
2025-02-20,Ship_108,1.0
2025-02-20,Ship_105,1.0
2025-02-20,Ship_109,1.0
2025-02-20,Ship_117,1.0
2025-02-20,Ship_112,1.0
2025-02-21,Ship_116,1.0
2025-02-21,Ship_114,1.0
2025-02-21,Ship_117,1.0
2025-02-21,Ship_112,1.0
2025-02-22,Ship_116,1.0
2025-02-22,Ship_108,1.0
2025-02-22,Ship_114,1.0
2025-02-22,Ship_105,1.0
2025-02-22,Ship_109,1.0
2025-02-22,Ship_110,1.0
2025-02-22,Ship_117,1.0
2025-02-22,Ship_113,1.0
2025-02-22,Ship_106,1.0
2025-02-23,Ship_107,1.0
2025-02-23,Ship_110,1.0
2025-02-23,Ship_111,1.0
2025-02-23,Ship_117,1.0
