Date,Ship,Value
2025-03-31,Ship_195,7424.0
2025-03-31,Ship_203,8054.0
2025-04-01,Ship_195,11000.0
2025-04-01,Ship_203,7780.0
2025-04-01,Ship_199,2408.0
2025-04-02,Ship_208,35000.0
2025-04-02,Ship_199,11000.0
2025-04-03,Ship_205,47000.0
2025-04-03,Ship_202,11000.0
2025-04-03,Ship_196,19293.0
2025-04-04,Ship_198,35000.0
2025-04-04,Ship_208,32427.0
2025-04-04,Ship_205,24474.0
2025-04-04,Ship_200,11000.0
2025-04-04,Ship_196,4146.0
2025-04-05,Ship_198,29705.0
2025-04-05,Ship_206,3739.0
2025-04-05,Ship_200,2130.0
2025-04-05,Ship_194,13113.0
2025-04-06,Ship_197,2325.0
2025-04-06,Ship_204,21287.0
2025-04-06,Ship_201,6190.0
2025-04-06,Ship_194,23000.0
2025-04-06,Ship_207,6201.0
