Date,Factory,Product,Value
2025-04-28,Factory_1,Product_1,11230.0
2025-04-28,Factory_1,Product_2,9669.0
2025-04-28,Factory_2,Product_3,548.0
2025-04-28,Factory_2,Product_4,10539.0
2025-04-28,Factory_3,Product_5,5202.0
2025-04-28,Factory_3,Product_6,3528.0
2025-04-28,Factory_4,Product_7,7635.0
2025-04-28,Factory_4,Product_8,12004.0
2025-04-28,Factory_5,Product_10,15679.0
2025-04-28,Factory_5,Product_9,2132.0
2025-04-29,Factory_1,Product_1,7820.56
2025-04-29,Factory_1,Product_2,21852.0
2025-04-29,Factory_2,Product_3,1116.0
2025-04-29,Factory_2,Product_4,3621.0
2025-04-29,Factory_3,Product_5,10909.0
2025-04-29,Factory_3,Product_6,8801.0
2025-04-29,Factory_4,Product_7,9590.0
2025-04-29,Factory_4,Product_8,29461.0
2025-04-29,Factory_5,Product_10,30179.0
2025-04-29,Factory_5,Product_9,4502.0
2025-04-30,Factory_1,Product_1,2916.0
2025-04-30,Factory_1,Product_2,34724.0
2025-04-30,Factory_2,Product_3,1662.0
2025-04-30,Factory_2,Product_4,16359.0
2025-04-30,Factory_3,Product_5,15304.0
2025-04-30,Factory_3,Product_6,12888.0
2025-04-30,Factory_4,Product_7,6567.0
2025-04-30,Factory_4,Product_8,48813.0
2025-04-30,Factory_5,Product_10,39957.0
2025-04-30,Factory_5,Product_9,6672.0
2025-05-01,Factory_1,Product_1,8133.0
2025-05-01,Factory_1,Product_2,46393.0
2025-05-01,Factory_2,Product_3,2233.0
2025-05-01,Factory_2,Product_4,8654.0
2025-05-01,Factory_3,Product_5,19066.0
2025-05-01,Factory_3,Product_6,17087.0
2025-05-01,Factory_4,Product_7,13796.0
2025-05-01,Factory_4,Product_8,26149.0
2025-05-01,Factory_5,Product_10,50105.0
2025-05-01,Factory_5,Product_9,9136.0
2025-05-02,Factory_1,Product_1,4776.0
2025-05-02,Factory_1,Product_2,56971.0
2025-05-02,Factory_2,Product_3,2811.0
2025-05-02,Factory_2,Product_4,6423.0
2025-05-02,Factory_3,Product_5,2757.0
2025-05-02,Factory_3,Product_6,20055.0
2025-05-02,Factory_4,Product_7,21804.0
2025-05-02,Factory_4,Product_8,6450.0
2025-05-02,Factory_5,Product_10,34633.0
2025-05-02,Factory_5,Product_9,11611.0
2025-05-03,Factory_1,Product_1,5196.0
2025-05-03,Factory_1,Product_2,32249.0
2025-05-03,Factory_2,Product_3,2830.0
2025-05-03,Factory_2,Product_4,7138.0
2025-05-03,Factory_3,Product_5,3004.0
2025-05-03,Factory_3,Product_6,9237.0
2025-05-03,Factory_4,Product_7,13743.0
2025-05-03,Factory_4,Product_8,7180.0
2025-05-03,Factory_5,Product_10,5010.0
2025-05-03,Factory_5,Product_9,11741.0
2025-05-04,Factory_1,Product_1,5596.0
2025-05-04,Factory_1,Product_2,7463.0
2025-05-04,Factory_2,Product_3,257.0
2025-05-04,Factory_2,Product_4,7691.0
2025-05-04,Factory_3,Product_5,3274.0
2025-05-04,Factory_3,Product_6,2280.0
2025-05-04,Factory_4,Product_7,5540.0
2025-05-04,Factory_4,Product_8,7813.0
2025-05-04,Factory_5,Product_10,5616.0
2025-05-04,Factory_5,Product_9,1582.0
