Date,Ship,Value
2025-05-06,Ship_266,1.0
2025-05-07,Ship_266,1.0
2025-05-07,Ship_274,1.0
2025-05-07,Ship_268,1.0
2025-05-08,Ship_267,1.0
2025-05-08,Ship_271,1.0
2025-05-08,Ship_276,1.0
2025-05-08,Ship_278,1.0
2025-05-08,Ship_269,1.0
2025-05-09,Ship_272,1.0
2025-05-09,Ship_267,1.0
2025-05-09,Ship_276,1.0
2025-05-09,Ship_278,1.0
2025-05-09,Ship_269,1.0
2025-05-10,Ship_275,1.0
2025-05-10,Ship_270,1.0
2025-05-10,Ship_271,1.0
2025-05-10,Ship_265,1.0
2025-05-11,Ship_273,1.0
2025-05-11,Ship_275,1.0
2025-05-11,Ship_277,1.0
2025-05-11,Ship_270,1.0
2025-05-11,Ship_265,1.0
