week,start,end,ships,demand,loaded,pct,movements,avg_stay,status
1,2025-01-01,2025-01-05,14,0,0.0,0.0,0,0.0,skipped
2,2025-01-06,2025-01-12,13,361348,361348.0,100.0,24,0.8,optimal
3,2025-01-13,2025-01-19,15,371044,371044.0,100.0,24,0.7,optimal
4,2025-01-20,2025-01-26,17,366788,362434.0,98.8,31,0.8,optimal
5,2025-01-27,2025-02-02,14,363128,363128.0,100.0,25,0.9,optimal
6,2025-02-03,2025-02-09,14,364791,359807.0,98.6,24,1.0,optimal
7,2025-02-10,2025-02-16,17,364462,347618.0,95.4,33,0.6,optimal
8,2025-02-17,2025-02-23,13,369570,364134.0,98.5,27,0.9,optimal
9,2025-02-24,2025-03-02,14,372358,371465.0,99.8,28,1.2,optimal
10,2025-03-03,2025-03-09,14,368970,365615.0,99.1,26,0.8,optimal
11,2025-03-10,2025-03-16,17,368712,366784.0,99.5,35,1.0,optimal
12,2025-03-17,2025-03-23,14,380492,377559.0,99.2,26,0.7,optimal
13,2025-03-24,2025-03-30,17,386863,377022.0,97.5,29,0.5,optimal
14,2025-03-31,2025-04-06,15,375084,374696.0,99.9,26,0.9,optimal
15,2025-04-07,2025-04-13,12,364823,364134.0,99.8,19,0.8,optimal
16,2025-04-14,2025-04-20,16,360224,353632.0,98.2,29,0.5,optimal
17,2025-04-21,2025-04-27,15,381836,381836.0,100.0,25,0.9,optimal
18,2025-04-28,2025-05-04,13,383308,383308.0,100.0,21,0.8,optimal
19,2025-05-05,2025-05-11,14,365176,363765.0,99.6,26,1.1,optimal
20,2025-05-12,2025-05-18,16,383263,373269.0,97.4,26,0.6,optimal
21,2025-05-19,2025-05-25,14,387441,387441.0,100.0,26,0.9,optimal
22,2025-05-26,2025-06-01,16,362666,357004.0,98.4,31,0.6,optimal
23,2025-06-02,2025-06-08,14,366956,362996.0,98.9,22,0.7,optimal
24,2025-06-09,2025-06-15,13,370743,364651.0,98.4,24,0.9,optimal
25,2025-06-16,2025-06-22,14,355047,347926.0,98.0,23,0.8,optimal
26,2025-06-23,2025-06-29,14,365854,363344.0,99.3,25,0.9,optimal
27,2025-06-30,2025-07-06,12,348625,348022.0,99.8,20,0.8,optimal
28,2025-07-07,2025-07-13,14,343545,338585.0,98.6,31,0.9,optimal
29,2025-07-14,2025-07-20,16,340397,335389.0,98.5,29,0.8,optimal
30,2025-07-21,2025-07-27,16,327434,318437.0,97.3,27,0.6,optimal
31,2025-07-28,2025-08-03,15,329953,319676.0,96.9,29,0.5,optimal
32,2025-08-04,2025-08-10,14,332722,332066.0,99.8,24,0.6,optimal
33,2025-08-11,2025-08-17,16,315563,310772.0,98.5,27,0.7,optimal
34,2025-08-18,2025-08-24,13,314455,314455.0,100.0,22,0.9,optimal
35,2025-08-25,2025-08-31,14,316422,315027.0,99.6,26,0.9,optimal
36,2025-09-01,2025-09-07,16,314697,306870.0,97.5,29,0.7,optimal
37,2025-09-08,2025-09-14,17,317874,316364.0,99.5,34,1.0,optimal
38,2025-09-15,2025-09-21,16,317233,312145.0,98.4,31,0.5,optimal
39,2025-09-22,2025-09-28,15,319929,319060.0,99.7,27,0.5,optimal
40,2025-09-29,2025-10-05,14,321239,317909.0,99.0,25,0.6,optimal
41,2025-10-06,2025-10-12,15,322704,322704.0,100.0,26,0.7,optimal
42,2025-10-13,2025-10-19,15,313983,312777.0,99.6,29,0.9,optimal
43,2025-10-20,2025-10-26,13,317461,315351.0,99.3,25,0.8,optimal
44,2025-10-27,2025-11-02,14,330007,321591.0,97.4,27,0.9,optimal
45,2025-11-03,2025-11-09,12,336261,330943.0,98.4,22,0.8,optimal
46,2025-11-10,2025-11-16,17,327253,318272.0,97.3,35,0.8,optimal
47,2025-11-17,2025-11-23,15,329259,325085.0,98.7,31,1.1,optimal
48,2025-11-24,2025-11-30,13,319742,316382.0,98.9,19,0.8,optimal
49,2025-12-01,2025-12-07,13,329159,329159.0,100.0,24,1.0,optimal
50,2025-12-08,2025-12-14,15,330864,328059.0,99.2,25,0.5,optimal
51,2025-12-15,2025-12-21,16,329004,321094.0,97.6,29,0.8,optimal
52,2025-12-22,2025-12-28,13,368264,366690.0,99.6,22,1.1,optimal
53,2025-12-29,2025-12-31,15,0,0.0,0.0,0,0.0,skipped
