Date,Berth,DailyCapacity,CumulativeCapacity,CumulativeDemand,Balance
2025-01-01,Q1A,35000,35000,0,35000
2025-01-01,Q1B,35000,35000,0,35000
2025-01-01,Q1C,23000,23000,0,23000
2025-01-01,Q2A,47000,47000,0,47000
2025-01-01,Q2B,47000,47000,0,47000
2025-01-02,Q1A,35000,70000,0,70000
2025-01-02,Q1B,35000,70000,0,70000
2025-01-02,Q1C,23000,46000,0,46000
2025-01-02,Q2A,47000,94000,0,94000
2025-01-02,Q2B,47000,94000,0,94000
2025-01-03,Q1A,35000,105000,0,105000
2025-01-03,Q1B,35000,105000,0,105000
2025-01-03,Q1C,23000,69000,0,69000
2025-01-03,Q2A,47000,141000,0,141000
2025-01-03,Q2B,47000,141000,0,141000
2025-01-04,Q1A,35000,140000,0,140000
2025-01-04,Q1B,35000,140000,0,140000
2025-01-04,Q1C,23000,92000,0,92000
2025-01-04,Q2A,47000,188000,41735,146265
2025-01-04,Q2B,47000,188000,0,188000
2025-01-05,Q1A,35000,175000,53974,121026
2025-01-05,Q1B,35000,175000,34399,140601
2025-01-05,Q1C,23000,115000,21886,93114
2025-01-05,Q2A,47000,235000,66556,168444
2025-01-05,Q2B,47000,235000,41777,193223
2025-01-06,Q1A,35000,210000,53974,156026
2025-01-06,Q1B,35000,210000,34399,175601
2025-01-06,Q1C,23000,138000,21886,116114
2025-01-06,Q2A,47000,282000,66556,215444
2025-01-06,Q2B,47000,282000,41777,240223
2025-01-07,Q1A,35000,245000,53974,191026
2025-01-07,Q1B,35000,245000,34399,210601
2025-01-07,Q1C,23000,161000,21886,139114
2025-01-07,Q2A,47000,329000,66556,262444
2025-01-07,Q2B,47000,329000,41777,287223
2025-01-08,Q1A,35000,280000,53974,226026
2025-01-08,Q1B,35000,280000,34399,245601
2025-01-08,Q1C,23000,184000,21886,162114
2025-01-08,Q2A,47000,376000,66556,309444
2025-01-08,Q2B,47000,376000,41777,334223
2025-01-09,Q1A,35000,315000,53974,261026
2025-01-09,Q1B,35000,315000,62150,252850
2025-01-09,Q1C,23000,207000,21886,185114
2025-01-09,Q2A,47000,423000,66556,356444
2025-01-09,Q2B,47000,423000,41777,381223
2025-01-10,Q1A,35000,350000,53974,296026
2025-01-10,Q1B,35000,350000,62150,287850
2025-01-10,Q1C,23000,230000,52853,177147
2025-01-10,Q2A,47000,470000,100412,369588
2025-01-10,Q2B,47000,470000,41777,428223
2025-01-11,Q1A,35000,385000,99283,285717
2025-01-11,Q1B,35000,385000,91988,293012
2025-01-11,Q1C,23000,253000,52853,200147
2025-01-11,Q2A,47000,517000,100412,416588
2025-01-11,Q2B,47000,517000,41777,475223
2025-01-12,Q1A,35000,420000,139631,280369
2025-01-12,Q1B,35000,420000,91988,328012
2025-01-12,Q1C,23000,276000,61464,214536
2025-01-12,Q2A,47000,564000,172974,391026
2025-01-12,Q2B,47000,564000,113883,450117
2025-01-13,Q1A,35000,455000,139631,315369
2025-01-13,Q1B,35000,455000,91988,363012
2025-01-13,Q1C,23000,299000,61464,237536
2025-01-13,Q2A,47000,611000,172974,438026
2025-01-13,Q2B,47000,611000,113883,497117
2025-01-14,Q1A,35000,490000,139631,350369
2025-01-14,Q1B,35000,490000,91988,398012
2025-01-14,Q1C,23000,322000,61464,260536
2025-01-14,Q2A,47000,658000,172974,485026
2025-01-14,Q2B,47000,658000,113883,544117
2025-01-15,Q1A,35000,525000,139631,385369
2025-01-15,Q1B,35000,525000,91988,433012
2025-01-15,Q1C,23000,345000,61464,283536
2025-01-15,Q2A,47000,705000,172974,532026
2025-01-15,Q2B,47000,705000,113883,591117
2025-01-16,Q1A,35000,560000,155968,404032
2025-01-16,Q1B,35000,560000,120411,439589
2025-01-16,Q1C,23000,368000,61464,306536
2025-01-16,Q2A,47000,752000,172974,579026
2025-01-16,Q2B,47000,752000,113883,638117
2025-01-17,Q1A,35000,595000,181369,413631
2025-01-17,Q1B,35000,595000,120411,474589
2025-01-17,Q1C,23000,391000,61464,329536
2025-01-17,Q2A,47000,799000,172974,626026
2025-01-17,Q2B,47000,799000,113883,685117
2025-01-18,Q1A,35000,630000,181369,448631
2025-01-18,Q1B,35000,630000,120411,509589
2025-01-18,Q1C,23000,414000,72010,341990
2025-01-18,Q2A,47000,846000,172974,673026
2025-01-18,Q2B,47000,846000,161054,684946
2025-01-19,Q1A,35000,665000,224227,440773
2025-01-19,Q1B,35000,665000,151115,513885
2025-01-19,Q1C,23000,437000,103224,333776
2025-01-19,Q2A,47000,893000,274785,618215
2025-01-19,Q2B,47000,893000,197633,695367
2025-01-20,Q1A,35000,700000,224227,475773
2025-01-20,Q1B,35000,700000,151115,548885
2025-01-20,Q1C,23000,460000,103224,356776
2025-01-20,Q2A,47000,940000,274785,665215
2025-01-20,Q2B,47000,940000,197633,742367
2025-01-21,Q1A,35000,735000,224227,510773
2025-01-21,Q1B,35000,735000,151115,583885
2025-01-21,Q1C,23000,483000,103224,379776
2025-01-21,Q2A,47000,987000,274785,712215
2025-01-21,Q2B,47000,987000,197633,789367
2025-01-22,Q1A,35000,770000,224227,545773
2025-01-22,Q1B,35000,770000,151115,618885
2025-01-22,Q1C,23000,506000,103224,402776
2025-01-22,Q2A,47000,1034000,274785,759215
2025-01-22,Q2B,47000,1034000,197633,836367
2025-01-23,Q1A,35000,805000,224227,580773
2025-01-23,Q1B,35000,805000,151115,653885
2025-01-23,Q1C,23000,529000,103224,425776
2025-01-23,Q2A,47000,1081000,274785,806215
2025-01-23,Q2B,47000,1081000,197633,883367
2025-01-24,Q1A,35000,840000,224227,615773
2025-01-24,Q1B,35000,840000,173947,666053
2025-01-24,Q1C,23000,552000,103224,448776
2025-01-24,Q2A,47000,1128000,274785,853215
2025-01-24,Q2B,47000,1128000,197633,930367
2025-01-25,Q1A,35000,875000,243606,631394
2025-01-25,Q1B,35000,875000,173947,701053
2025-01-25,Q1C,23000,575000,129624,445376
2025-01-25,Q2A,47000,1175000,348727,826273
2025-01-25,Q2B,47000,1175000,268490,906510
2025-01-26,Q1A,35000,910000,312523,597477
2025-01-26,Q1B,35000,910000,206579,703421
2025-01-26,Q1C,23000,598000,145365,452635
2025-01-26,Q2A,47000,1222000,379894,842106
2025-01-26,Q2B,47000,1222000,273411,948589
2025-01-27,Q1A,35000,945000,312523,632477
2025-01-27,Q1B,35000,945000,206579,738421
2025-01-27,Q1C,23000,621000,145365,475635
2025-01-27,Q2A,47000,1269000,379894,889106
2025-01-27,Q2B,47000,1269000,273411,995589
2025-01-28,Q1A,35000,980000,312523,667477
2025-01-28,Q1B,35000,980000,206579,773421
2025-01-28,Q1C,23000,644000,145365,498635
2025-01-28,Q2A,47000,1316000,379894,936106
2025-01-28,Q2B,47000,1316000,273411,1042589
2025-01-29,Q1A,35000,1015000,312523,702477
2025-01-29,Q1B,35000,1015000,206579,808421
2025-01-29,Q1C,23000,667000,145365,521635
2025-01-29,Q2A,47000,1363000,379894,983106
2025-01-29,Q2B,47000,1363000,273411,1089589
2025-01-30,Q1A,35000,1050000,312523,737477
2025-01-30,Q1B,35000,1050000,206579,843421
2025-01-30,Q1C,23000,690000,157862,532138
2025-01-30,Q2A,47000,1410000,379894,1030106
2025-01-30,Q2B,47000,1410000,273411,1136589
2025-01-31,Q1A,35000,1085000,359318,725682
2025-01-31,Q1B,35000,1085000,208898,876102
2025-01-31,Q1C,23000,713000,157862,555138
2025-01-31,Q2A,47000,1457000,379894,1077106
2025-01-31,Q2B,47000,1457000,273411,1183589
2025-02-01,Q1A,35000,1120000,386180,733820
2025-02-01,Q1B,35000,1120000,208898,911102
2025-02-01,Q1C,23000,736000,157862,578138
2025-02-01,Q2A,47000,1504000,379894,1124106
2025-02-01,Q2B,47000,1504000,273411,1230589
2025-02-02,Q1A,35000,1155000,401399,753601
2025-02-02,Q1B,35000,1155000,257607,897393
2025-02-02,Q1C,23000,759000,186507,572493
2025-02-02,Q2A,47000,1551000,491908,1059092
2025-02-02,Q2B,47000,1551000,343479,1207521
2025-02-03,Q1A,35000,1190000,401399,788601
2025-02-03,Q1B,35000,1190000,257607,932393
2025-02-03,Q1C,23000,782000,186507,595493
2025-02-03,Q2A,47000,1598000,491908,1106092
2025-02-03,Q2B,47000,1598000,343479,1254521
2025-02-04,Q1A,35000,1225000,401399,823601
2025-02-04,Q1B,35000,1225000,257607,967393
2025-02-04,Q1C,23000,805000,186507,618493
2025-02-04,Q2A,47000,1645000,491908,1153092
2025-02-04,Q2B,47000,1645000,343479,1301521
2025-02-05,Q1A,35000,1260000,401399,858601
2025-02-05,Q1B,35000,1260000,257607,1002393
2025-02-05,Q1C,23000,828000,186507,641493
2025-02-05,Q2A,47000,1692000,491908,1200092
2025-02-05,Q2B,47000,1692000,343479,1348521
2025-02-06,Q1A,35000,1295000,401399,893601
2025-02-06,Q1B,35000,1295000,257607,1037393
2025-02-06,Q1C,23000,851000,186507,664493
2025-02-06,Q2A,47000,1739000,504430,1234570
2025-02-06,Q2B,47000,1739000,343479,1395521
2025-02-07,Q1A,35000,1330000,447265,882735
2025-02-07,Q1B,35000,1330000,257607,1072393
2025-02-07,Q1C,23000,874000,186507,687493
2025-02-07,Q2A,47000,1786000,524456,1261544
2025-02-07,Q2B,47000,1786000,407663,1378337
2025-02-08,Q1A,35000,1365000,447265,917735
2025-02-08,Q1B,35000,1365000,257607,1107393
2025-02-08,Q1C,23000,897000,186507,710493
2025-02-08,Q2A,47000,1833000,561480,1271520
2025-02-08,Q2B,47000,1833000,411200,1421800
2025-02-09,Q1A,35000,1400000,490355,909645
2025-02-09,Q1B,35000,1400000,317216,1082784
2025-02-09,Q1C,23000,920000,228762,691238
2025-02-09,Q2A,47000,1880000,591648,1288352
2025-02-09,Q2B,47000,1880000,417710,1462290
2025-02-10,Q1A,35000,1435000,490355,944645
2025-02-10,Q1B,35000,1435000,317216,1117784
2025-02-10,Q1C,23000,943000,228762,714238
2025-02-10,Q2A,47000,1927000,591648,1335352
2025-02-10,Q2B,47000,1927000,417710,1509290
2025-02-11,Q1A,35000,1470000,490355,979645
2025-02-11,Q1B,35000,1470000,317216,1152784
2025-02-11,Q1C,23000,966000,228762,737238
2025-02-11,Q2A,47000,1974000,591648,1382352
2025-02-11,Q2B,47000,1974000,417710,1556290
2025-02-12,Q1A,35000,1505000,490355,1014645
2025-02-12,Q1B,35000,1505000,317216,1187784
2025-02-12,Q1C,23000,989000,228762,760238
2025-02-12,Q2A,47000,2021000,591648,1429352
2025-02-12,Q2B,47000,2021000,417710,1603290
2025-02-13,Q1A,35000,1540000,490355,1049645
2025-02-13,Q1B,35000,1540000,317216,1222784
2025-02-13,Q1C,23000,1012000,254992,757008
2025-02-13,Q2A,47000,2068000,608193,1459807
2025-02-13,Q2B,47000,2068000,442976,1625024
2025-02-14,Q1A,35000,1575000,490355,1084645
2025-02-14,Q1B,35000,1575000,317216,1257784
2025-02-14,Q1C,23000,1035000,254992,780008
2025-02-14,Q2A,47000,2115000,646057,1468943
2025-02-14,Q2B,47000,2115000,442976,1672024
2025-02-15,Q1A,35000,1610000,512955,1097045
2025-02-15,Q1B,35000,1610000,365210,1244790
2025-02-15,Q1C,23000,1058000,254992,803008
2025-02-15,Q2A,47000,2162000,703506,1458494
2025-02-15,Q2B,47000,2162000,442976,1719024
2025-02-16,Q1A,35000,1645000,580443,1064557
2025-02-16,Q1B,35000,1645000,367486,1277514
2025-02-16,Q1C,23000,1081000,270462,810538
2025-02-16,Q2A,47000,2209000,703506,1505494
2025-02-16,Q2B,47000,2209000,488256,1720744
2025-02-17,Q1A,35000,1680000,580443,1099557
2025-02-17,Q1B,35000,1680000,367486,1312514
2025-02-17,Q1C,23000,1104000,270462,833538
2025-02-17,Q2A,47000,2256000,703506,1552494
2025-02-17,Q2B,47000,2256000,488256,1767744
2025-02-18,Q1A,35000,1715000,580443,1134557
2025-02-18,Q1B,35000,1715000,367486,1347514
2025-02-18,Q1C,23000,1127000,270462,856538
2025-02-18,Q2A,47000,2303000,703506,1599494
2025-02-18,Q2B,47000,2303000,488256,1814744
2025-02-19,Q1A,35000,1750000,580443,1169557
2025-02-19,Q1B,35000,1750000,367486,1382514
2025-02-19,Q1C,23000,1150000,270462,879538
2025-02-19,Q2A,47000,2350000,703506,1646494
2025-02-19,Q2B,47000,2350000,488256,1861744
2025-02-20,Q1A,35000,1785000,580443,1204557
2025-02-20,Q1B,35000,1785000,367486,1417514
2025-02-20,Q1C,23000,1173000,270462,902538
2025-02-20,Q2A,47000,2397000,742203,1654797
2025-02-20,Q2B,47000,2397000,488256,1908744
2025-02-21,Q1A,35000,1820000,580443,1239557
2025-02-21,Q1B,35000,1820000,430644,1389356
