Client,Ship,ArrivalDate,Deadline,Product,Quantity
Client_10,Ship_10,2025-01-01,2025-01-04,Product_8,23796
Client_2,Ship_2,2025-01-01,2025-01-05,Product_1,14454
Client_6,Ship_6,2025-01-01,2025-01-05,Product_5,12132
Client_7,Ship_7,2025-01-01,2025-01-05,Product_6,9754
Client_8,Ship_8,2025-01-01,2025-01-04,Product_7,17939
Client_1,Ship_1,2025-01-02,2025-01-05,Product_1,7990
Client_11,Ship_11,2025-01-02,2025-01-05,Product_9,3640
Client_12,Ship_12,2025-01-02,2025-01-05,Product_9,2112
Client_13,Ship_13,2025-01-02,2025-01-05,Product_10,13890
Client_14,Ship_14,2025-01-02,2025-01-05,Product_10,22135
Client_3,Ship_3,2025-01-02,2025-01-05,Product_2,31530
Client_4,Ship_4,2025-01-02,2025-01-05,Product_4,16374
Client_5,Ship_5,2025-01-02,2025-01-05,Product_4,18025
Client_9,Ship_9,2025-01-02,2025-01-05,Product_8,24821
Client_15,Ship_15,2025-01-06,2025-01-12,Product_1,40348
Client_17,Ship_17,2025-01-06,2025-01-11,Product_3,2238
Client_18,Ship_18,2025-01-06,2025-01-09,Product_4,27751
Client_2,Ship_22,2025-01-06,2025-01-10,Product_6,7818
Client_4,Ship_24,2025-01-06,2025-01-10,Product_7,19073
Client_6,Ship_26,2025-01-06,2025-01-12,Product_9,9151
Client_19,Ship_19,2025-01-07,2025-01-11,Product_4,27600
Client_20,Ship_20,2025-01-07,2025-01-10,Product_5,23149
Client_3,Ship_23,2025-01-07,2025-01-10,Product_7,14783
Client_5,Ship_25,2025-01-07,2025-01-12,Product_8,72562
Client_7,Ship_27,2025-01-07,2025-01-12,Product_10,62955
Client_1,Ship_21,2025-01-08,2025-01-12,Product_6,8611
Client_16,Ship_16,2025-01-08,2025-01-11,Product_2,45309
Client_10,Ship_30,2025-01-13,2025-01-19,Product_2,42858
Client_12,Ship_32,2025-01-13,2025-01-16,Product_4,28423
Client_9,Ship_29,2025-01-13,2025-01-16,Product_1,16337
Client_14,Ship_34,2025-01-14,2025-01-19,Product_5,16793
Client_15,Ship_35,2025-01-14,2025-01-18,Product_5,10546
Client_19,Ship_39,2025-01-14,2025-01-18,Product_9,6202
Client_2,Ship_42,2025-01-14,2025-01-19,Product_10,32403
Client_8,Ship_28,2025-01-14,2025-01-17,Product_1,25401
Client_1,Ship_41,2025-01-15,2025-01-18,Product_10,40969
Client_11,Ship_31,2025-01-15,2025-01-19,Product_3,2162
Client_17,Ship_37,2025-01-15,2025-01-19,Product_7,34925
Client_13,Ship_33,2025-01-16,2025-01-19,Product_4,28542
Client_16,Ship_36,2025-01-16,2025-01-19,Product_6,14421
Client_18,Ship_38,2025-01-16,2025-01-19,Product_8,66886
Client_20,Ship_40,2025-01-16,2025-01-19,Product_9,4176
Client_10,Ship_50,2025-01-20,2025-01-26,Product_5,15741
Client_15,Ship_55,2025-01-20,2025-01-26,Product_8,31167
Client_3,Ship_43,2025-01-20,2025-01-25,Product_1,19379
Client_11,Ship_51,2025-01-21,2025-01-25,Product_5,9104
Client_4,Ship_44,2025-01-21,2025-01-26,Product_1,22868
Client_7,Ship_47,2025-01-21,2025-01-26,Product_3,2464
Client_9,Ship_49,2025-01-21,2025-01-24,Product_4,22832
Client_12,Ship_52,2025-01-22,2025-01-25,Product_6,17296
Client_13,Ship_53,2025-01-22,2025-01-25,Product_7,31314
Client_14,Ship_54,2025-01-22,2025-01-25,Product_8,42628
Client_16,Ship_56,2025-01-22,2025-01-25,Product_9,6102
Client_18,Ship_58,2025-01-22,2025-01-25,Product_10,40418
Client_19,Ship_59,2025-01-22,2025-01-25,Product_10,24337
Client_5,Ship_45,2025-01-22,2025-01-26,Product_2,20032
Client_6,Ship_46,2025-01-22,2025-01-26,Product_2,26017
Client_17,Ship_57,2025-01-23,2025-01-26,Product_9,4921
Client_8,Ship_48,2025-01-23,2025-01-26,Product_4,30168
Client_11,Ship_71,2025-01-27,2025-02-02,Product_9,8114
Client_20,Ship_60,2025-01-27,2025-02-01,Product_1,26862
Client_5,Ship_65,2025-01-27,2025-01-30,Product_5,12497
Client_6,Ship_66,2025-01-27,2025-02-02,Product_5,10570
Client_10,Ship_70,2025-01-28,2025-02-02,Product_8,79369
Client_2,Ship_62,2025-01-28,2025-01-31,Product_2,46795
Client_3,Ship_63,2025-01-28,2025-01-31,Product_3,2319
Client_8,Ship_68,2025-01-28,2025-02-02,Product_7,13491
Client_13,Ship_73,2025-01-29,2025-02-02,Product_10,30270
Client_1,Ship_61,2025-01-30,2025-02-02,Product_1,15219
Client_12,Ship_72,2025-01-30,2025-02-02,Product_10,31684
Client_4,Ship_64,2025-01-30,2025-02-02,Product_4,48709
Client_7,Ship_67,2025-01-30,2025-02-02,Product_6,18075
Client_9,Ship_69,2025-01-30,2025-02-02,Product_7,19154
Client_1,Ship_81,2025-02-03,2025-02-06,Product_7,12522
Client_15,Ship_75,2025-02-03,2025-02-09,Product_1,17266
Client_19,Ship_79,2025-02-03,2025-02-09,Product_5,24787
Client_14,Ship_74,2025-02-04,2025-02-09,Product_1,25824
Client_16,Ship_76,2025-02-04,2025-02-07,Product_2,45866
Client_2,Ship_82,2025-02-04,2025-02-07,Product_7,20026
Client_4,Ship_84,2025-02-04,2025-02-09,Product_8,30168
Client_5,Ship_85,2025-02-04,2025-02-08,Product_9,3537
Client_7,Ship_87,2025-02-04,2025-02-07,Product_10,64184
Client_3,Ship_83,2025-02-05,2025-02-08,Product_8,37024
Client_17,Ship_77,2025-02-06,2025-02-09,Product_3,2794
Client_18,Ship_78,2025-02-06,2025-02-09,Product_4,56815
Client_20,Ship_80,2025-02-06,2025-02-09,Product_6,17468
Client_6,Ship_86,2025-02-06,2025-02-09,Product_9,6510
Client_12,Ship_92,2025-02-10,2025-02-15,Product_4,28936
Client_14,Ship_94,2025-02-10,2025-02-13,Product_5,26230
Client_18,Ship_98,2025-02-10,2025-02-13,Product_7,16545
Client_2,Ship_102,2025-02-10,2025-02-16,Product_9,5590
Client_20,Ship_100,2025-02-10,2025-02-15,Product_8,40928
Client_4,Ship_104,2025-02-10,2025-02-13,Product_10,25266
Client_1,Ship_101,2025-02-11,2025-02-16,Product_9,5392
Client_16,Ship_96,2025-02-11,2025-02-16,Product_6,7550
Client_19,Ship_99,2025-02-11,2025-02-14,Product_8,37864
Client_8,Ship_88,2025-02-11,2025-02-15,Product_1,22600
Client_10,Ship_90,2025-02-12,2025-02-16,Product_2,46974
Client_13,Ship_93,2025-02-12,2025-02-15,Product_4,19058
Client_17,Ship_97,2025-02-12,2025-02-15,Product_7,16521
Client_11,Ship_91,2025-02-13,2025-02-16,Product_3,2276
Client_15,Ship_95,2025-02-13,2025-02-16,Product_6,7920
Client_3,Ship_103,2025-02-13,2025-02-16,Product_10,34298
Client_9,Ship_89,2025-02-13,2025-02-16,Product_1,20514
Client_15,Ship_115,2025-02-17,2025-02-20,Product_8,38697
Client_16,Ship_116,2025-02-17,2025-02-21,Product_9,9974
Client_8,Ship_108,2025-02-17,2025-02-21,Product_4,63158
Client_14,Ship_114,2025-02-18,2025-02-21,Product_8,27124
Client_5,Ship_105,2025-02-18,2025-02-22,Product_1,42398
Client_7,Ship_107,2025-02-18,2025-02-23,Product_3,2439
Client_9,Ship_109,2025-02-18,2025-02-21,Product_5,23235
Client_10,Ship_110,2025-02-19,2025-02-22,Product_6,8169
Client_11,Ship_111,2025-02-19,2025-02-23,Product_6,9955
Client_17,Ship_117,2025-02-19,2025-02-22,Product_10,63782
Client_12,Ship_112,2025-02-20,2025-02-23,Product_7,16436
Client_13,Ship_113,2025-02-20,2025-02-23,Product_7,16700
Client_6,Ship_106,2025-02-20,2025-02-23,Product_2,47503
Client_10,Ship_130,2025-02-24,2025-02-28,Product_10,38552
Client_11,Ship_131,2025-02-24,2025-02-28,Product_10,26881
Client_19,Ship_119,2025-02-24,2025-02-28,Product_2,51567
Client_3,Ship_123,2025-02-24,2025-02-28,Product_5,8946
Client_8,Ship_128,2025-02-24,2025-02-28,Product_8,75078
Client_1,Ship_121,2025-02-25,2025-03-02,Product_4,21465
Client_7,Ship_127,2025-02-25,2025-03-02,Product_7,32616
Client_9,Ship_129,2025-02-25,2025-03-02,Product_9,10192
Client_18,Ship_118,2025-02-26,2025-03-01,Product_1,42283
Client_20,Ship_120,2025-02-26,2025-03-02,Product_3,2257
Client_5,Ship_125,2025-02-26,2025-03-02,Product_6,7589
Client_6,Ship_126,2025-02-26,2025-03-02,Product_6,10402
Client_2,Ship_122,2025-02-27,2025-03-02,Product_4,31715
Client_4,Ship_124,2025-02-27,2025-03-02,Product_5,12815
Client_1,Ship_141,2025-03-03,2025-03-08,Product_7,13856
Client_14,Ship_134,2025-03-03,2025-03-08,Product_2,44918
Client_15,Ship_135,2025-03-03,2025-03-08,Product_3,2383
Client_12,Ship_132,2025-03-04,2025-03-09,Product_1,21613
Client_16,Ship_136,2025-03-04,2025-03-08,Product_4,57216
Client_17,Ship_137,2025-03-04,2025-03-09,Product_5,26355
Client_18,Ship_138,2025-03-04,2025-03-09,Product_6,6269
Client_3,Ship_143,2025-03-04,2025-03-08,Product_9,7434
Client_2,Ship_142,2025-03-05,2025-03-08,Product_8,80209
