Date,Factory,Product,Production
2025-01-01,Factory_1,Product_1,8720
2025-01-01,Factory_1,Product_2,12193
2025-01-01,Factory_2,Product_3,558
2025-01-01,Factory_2,Product_4,12863
2025-01-01,Factory_3,Product_5,4304
2025-01-01,Factory_3,Product_6,3754
2025-01-01,Factory_4,Product_7,6757
2025-01-01,Factory_4,Product_8,15104
2025-01-01,Factory_5,Product_10,13946
2025-01-01,Factory_5,Product_9,2365
2025-01-02,Factory_1,Product_1,8164
2025-01-02,Factory_1,Product_2,11493
2025-01-02,Factory_2,Product_3,561
2025-01-02,Factory_2,Product_4,12857
2025-01-02,Factory_3,Product_5,4252
2025-01-02,Factory_3,Product_6,3104
2025-01-02,Factory_4,Product_7,6971
2025-01-02,Factory_4,Product_8,18019
2025-01-02,Factory_5,Product_10,12417
2025-01-02,Factory_5,Product_9,2203
2025-01-03,Factory_1,Product_1,8563
2025-01-03,Factory_1,Product_2,11490
2025-01-03,Factory_2,Product_3,380
2025-01-03,Factory_2,Product_4,12740
2025-01-03,Factory_3,Product_5,4206
2025-01-03,Factory_3,Product_6,3967
2025-01-03,Factory_4,Product_7,6743
2025-01-03,Factory_4,Product_8,18850
2025-01-03,Factory_5,Product_10,14551
2025-01-03,Factory_5,Product_9,1689
2025-01-04,Factory_1,Product_1,375
2025-01-04,Factory_1,Product_2,553
2025-01-04,Factory_2,Product_3,17
2025-01-04,Factory_2,Product_4,494
2025-01-04,Factory_3,Product_5,197
2025-01-04,Factory_3,Product_6,203
2025-01-04,Factory_4,Product_7,306
2025-01-04,Factory_4,Product_8,882
2025-01-04,Factory_5,Product_10,614
2025-01-04,Factory_5,Product_9,101
2025-01-05,Factory_1,Product_1,488
2025-01-05,Factory_1,Product_2,691
2025-01-05,Factory_2,Product_3,29
2025-01-05,Factory_2,Product_4,655
2025-01-05,Factory_3,Product_5,273
2025-01-05,Factory_3,Product_6,190
2025-01-05,Factory_4,Product_7,321
2025-01-05,Factory_4,Product_8,649
2025-01-05,Factory_5,Product_10,737
2025-01-05,Factory_5,Product_9,94
2025-01-06,Factory_1,Product_1,9636
2025-01-06,Factory_1,Product_2,9939
2025-01-06,Factory_2,Product_3,594
2025-01-06,Factory_2,Product_4,9463
2025-01-06,Factory_3,Product_5,6287
2025-01-06,Factory_3,Product_6,3878
2025-01-06,Factory_4,Product_7,6818
2025-01-06,Factory_4,Product_8,15586
2025-01-06,Factory_5,Product_10,14400
2025-01-06,Factory_5,Product_9,2407
2025-01-07,Factory_1,Product_1,8729
2025-01-07,Factory_1,Product_2,7185
2025-01-07,Factory_2,Product_3,428
2025-01-07,Factory_2,Product_4,10481
2025-01-07,Factory_3,Product_5,5377
2025-01-07,Factory_3,Product_6,3615
2025-01-07,Factory_4,Product_7,7112
2025-01-07,Factory_4,Product_8,16154
2025-01-07,Factory_5,Product_10,13403
2025-01-07,Factory_5,Product_9,2510
2025-01-08,Factory_1,Product_1,10122
2025-01-08,Factory_1,Product_2,12765
2025-01-08,Factory_2,Product_3,365
2025-01-08,Factory_2,Product_4,14250
2025-01-08,Factory_3,Product_5,3567
2025-01-08,Factory_3,Product_6,4602
2025-01-08,Factory_4,Product_7,7665
2025-01-08,Factory_4,Product_8,11060
2025-01-08,Factory_5,Product_10,12653
2025-01-08,Factory_5,Product_9,2475
2025-01-09,Factory_1,Product_1,9281
2025-01-09,Factory_1,Product_2,9599
2025-01-09,Factory_2,Product_3,514
2025-01-09,Factory_2,Product_4,13444
2025-01-09,Factory_3,Product_5,5252
2025-01-09,Factory_3,Product_6,3264
2025-01-09,Factory_4,Product_7,8181
2025-01-09,Factory_4,Product_8,16276
2025-01-09,Factory_5,Product_10,13881
2025-01-09,Factory_5,Product_9,1898
2025-01-10,Factory_1,Product_1,7568
2025-01-10,Factory_1,Product_2,10491
2025-01-10,Factory_2,Product_3,579
2025-01-10,Factory_2,Product_4,14628
2025-01-10,Factory_3,Product_5,5283
2025-01-10,Factory_3,Product_6,3447
2025-01-10,Factory_4,Product_7,6740
2025-01-10,Factory_4,Product_8,20425
2025-01-10,Factory_5,Product_10,14718
2025-01-10,Factory_5,Product_9,1263
2025-01-11,Factory_1,Product_1,459
2025-01-11,Factory_1,Product_2,619
2025-01-11,Factory_2,Product_3,32
2025-01-11,Factory_2,Product_4,575
2025-01-11,Factory_3,Product_5,357
2025-01-11,Factory_3,Product_6,190
2025-01-11,Factory_4,Product_7,329
2025-01-11,Factory_4,Product_8,836
2025-01-11,Factory_5,Product_10,891
2025-01-11,Factory_5,Product_9,79
2025-01-12,Factory_1,Product_1,373
2025-01-12,Factory_1,Product_2,393
2025-01-12,Factory_2,Product_3,27
2025-01-12,Factory_2,Product_4,496
2025-01-12,Factory_3,Product_5,212
2025-01-12,Factory_3,Product_6,215
2025-01-12,Factory_4,Product_7,377
2025-01-12,Factory_4,Product_8,933
2025-01-12,Factory_5,Product_10,778
2025-01-12,Factory_5,Product_9,130
2025-01-13,Factory_1,Product_1,9882
2025-01-13,Factory_1,Product_2,8427
2025-01-13,Factory_2,Product_3,482
2025-01-13,Factory_2,Product_4,11586
2025-01-13,Factory_3,Product_5,5124
2025-01-13,Factory_3,Product_6,2945
2025-01-13,Factory_4,Product_7,7736
2025-01-13,Factory_4,Product_8,15728
2025-01-13,Factory_5,Product_10,15664
2025-01-13,Factory_5,Product_9,2025
2025-01-14,Factory_1,Product_1,8680
2025-01-14,Factory_1,Product_2,7896
2025-01-14,Factory_2,Product_3,443
2025-01-14,Factory_2,Product_4,12223
2025-01-14,Factory_3,Product_5,6847
2025-01-14,Factory_3,Product_6,3057
2025-01-14,Factory_4,Product_7,6636
2025-01-14,Factory_4,Product_8,15164
2025-01-14,Factory_5,Product_10,20026
2025-01-14,Factory_5,Product_9,1915
2025-01-15,Factory_1,Product_1,8517
2025-01-15,Factory_1,Product_2,9169
2025-01-15,Factory_2,Product_3,513
2025-01-15,Factory_2,Product_4,12202
2025-01-15,Factory_3,Product_5,5829
2025-01-15,Factory_3,Product_6,2646
2025-01-15,Factory_4,Product_7,7953
2025-01-15,Factory_4,Product_8,16236
2025-01-15,Factory_5,Product_10,14769
2025-01-15,Factory_5,Product_9,2694
2025-01-16,Factory_1,Product_1,7878
2025-01-16,Factory_1,Product_2,11114
2025-01-16,Factory_2,Product_3,490
2025-01-16,Factory_2,Product_4,14133
2025-01-16,Factory_3,Product_5,5932
2025-01-16,Factory_3,Product_6,3836
2025-01-16,Factory_4,Product_7,8168
2025-01-16,Factory_4,Product_8,13501
2025-01-16,Factory_5,Product_10,14729
2025-01-16,Factory_5,Product_9,2576
2025-01-17,Factory_1,Product_1,10400
2025-01-17,Factory_1,Product_2,11264
2025-01-17,Factory_2,Product_3,435
2025-01-17,Factory_2,Product_4,11442
2025-01-17,Factory_3,Product_5,5573
2025-01-17,Factory_3,Product_6,3182
2025-01-17,Factory_4,Product_7,8515
2025-01-17,Factory_4,Product_8,13180
2025-01-17,Factory_5,Product_10,15205
2025-01-17,Factory_5,Product_9,2176
2025-01-18,Factory_1,Product_1,430
2025-01-18,Factory_1,Product_2,545
2025-01-18,Factory_2,Product_3,34
2025-01-18,Factory_2,Product_4,638
2025-01-18,Factory_3,Product_5,288
2025-01-18,Factory_3,Product_6,180
2025-01-18,Factory_4,Product_7,453
2025-01-18,Factory_4,Product_8,918
2025-01-18,Factory_5,Product_10,585
2025-01-18,Factory_5,Product_9,104
2025-01-19,Factory_1,Product_1,412
2025-01-19,Factory_1,Product_2,413
2025-01-19,Factory_2,Product_3,33
