Date,Product,CumulativeProduction,CumulativeDemand,Balance
2025-01-01,Product_1,8720,0,8720
2025-01-01,Product_10,13946,0,13946
2025-01-01,Product_2,12193,0,12193
2025-01-01,Product_3,558,0,558
2025-01-01,Product_4,12863,0,12863
2025-01-01,Product_5,4304,0,4304
2025-01-01,Product_6,3754,0,3754
2025-01-01,Product_7,6757,0,6757
2025-01-01,Product_8,15104,0,15104
2025-01-01,Product_9,2365,0,2365
2025-01-02,Product_1,16884,0,16884
2025-01-02,Product_10,26363,0,26363
2025-01-02,Product_2,23686,0,23686
2025-01-02,Product_3,1119,0,1119
2025-01-02,Product_4,25720,0,25720
2025-01-02,Product_5,8556,0,8556
2025-01-02,Product_6,6858,0,6858
2025-01-02,Product_7,13728,0,13728
2025-01-02,Product_8,33123,0,33123
2025-01-02,Product_9,4568,0,4568
2025-01-03,Product_1,25447,0,25447
2025-01-03,Product_10,40914,0,40914
2025-01-03,Product_2,35176,0,35176
2025-01-03,Product_3,1499,0,1499
2025-01-03,Product_4,38460,0,38460
2025-01-03,Product_5,12762,0,12762
2025-01-03,Product_6,10825,0,10825
2025-01-03,Product_7,20471,0,20471
2025-01-03,Product_8,51973,0,51973
2025-01-03,Product_9,6257,0,6257
2025-01-04,Product_1,25822,0,25822
2025-01-04,Product_10,41528,0,41528
2025-01-04,Product_2,35729,0,35729
2025-01-04,Product_3,1516,0,1516
2025-01-04,Product_4,38954,0,38954
2025-01-04,Product_5,12959,0,12959
2025-01-04,Product_6,11028,0,11028
2025-01-04,Product_7,20777,17939,2838
2025-01-04,Product_8,52855,23796,29059
2025-01-04,Product_9,6358,0,6358
2025-01-05,Product_1,26310,22444,3866
2025-01-05,Product_10,42265,36025,6240
2025-01-05,Product_2,36420,31530,4890
2025-01-05,Product_3,1545,0,1545
2025-01-05,Product_4,39609,34399,5210
2025-01-05,Product_5,13232,12132,1100
2025-01-05,Product_6,11218,9754,1464
2025-01-05,Product_7,21098,17939,3159
2025-01-05,Product_8,53504,48617,4887
2025-01-05,Product_9,6452,5752,700
2025-01-06,Product_1,35946,22444,13502
2025-01-06,Product_10,56665,36025,20640
2025-01-06,Product_2,46359,31530,14829
2025-01-06,Product_3,2139,0,2139
2025-01-06,Product_4,49072,34399,14673
2025-01-06,Product_5,19519,12132,7387
2025-01-06,Product_6,15096,9754,5342
2025-01-06,Product_7,27916,17939,9977
2025-01-06,Product_8,69090,48617,20473
2025-01-06,Product_9,8859,5752,3107
2025-01-07,Product_1,44675,22444,22231
2025-01-07,Product_10,70068,36025,34043
2025-01-07,Product_2,53544,31530,22014
2025-01-07,Product_3,2567,0,2567
2025-01-07,Product_4,59553,34399,25154
2025-01-07,Product_5,24896,12132,12764
2025-01-07,Product_6,18711,9754,8957
2025-01-07,Product_7,35028,17939,17089
2025-01-07,Product_8,85244,48617,36627
2025-01-07,Product_9,11369,5752,5617
2025-01-08,Product_1,54797,22444,32353
2025-01-08,Product_10,82721,36025,46696
2025-01-08,Product_2,66309,31530,34779
2025-01-08,Product_3,2932,0,2932
2025-01-08,Product_4,73803,34399,39404
2025-01-08,Product_5,28463,12132,16331
2025-01-08,Product_6,23313,9754,13559
2025-01-08,Product_7,42693,17939,24754
2025-01-08,Product_8,96304,48617,47687
2025-01-08,Product_9,13844,5752,8092
2025-01-09,Product_1,64078,22444,41634
2025-01-09,Product_10,96602,36025,60577
2025-01-09,Product_2,75908,31530,44378
2025-01-09,Product_3,3446,0,3446
2025-01-09,Product_4,87247,62150,25097
2025-01-09,Product_5,33715,12132,21583
2025-01-09,Product_6,26577,9754,16823
2025-01-09,Product_7,50874,17939,32935
2025-01-09,Product_8,112580,48617,63963
2025-01-09,Product_9,15742,5752,9990
2025-01-10,Product_1,71646,22444,49202
2025-01-10,Product_10,111320,36025,75295
2025-01-10,Product_2,86399,31530,54869
2025-01-10,Product_3,4025,0,4025
2025-01-10,Product_4,101875,62150,39725
2025-01-10,Product_5,38998,35281,3717
2025-01-10,Product_6,30024,17572,12452
2025-01-10,Product_7,57614,51795,5819
2025-01-10,Product_8,133005,48617,84388
2025-01-10,Product_9,17005,5752,11253
2025-01-11,Product_1,72105,22444,49661
2025-01-11,Product_10,112211,36025,76186
2025-01-11,Product_2,87018,76839,10179
2025-01-11,Product_3,4057,2238,1819
2025-01-11,Product_4,102450,89750,12700
2025-01-11,Product_5,39355,35281,4074
2025-01-11,Product_6,30214,17572,12642
2025-01-11,Product_7,57943,51795,6148
2025-01-11,Product_8,133841,48617,85224
2025-01-11,Product_9,17084,5752,11332
2025-01-12,Product_1,72478,62792,9686
2025-01-12,Product_10,112989,98980,14009
2025-01-12,Product_2,87411,76839,10572
2025-01-12,Product_3,4084,2238,1846
2025-01-12,Product_4,102946,89750,13196
2025-01-12,Product_5,39567,35281,4286
2025-01-12,Product_6,30429,26183,4246
2025-01-12,Product_7,58320,51795,6525
2025-01-12,Product_8,134774,121179,13595
2025-01-12,Product_9,17214,14903,2311
2025-01-13,Product_1,82360,62792,19568
2025-01-13,Product_10,128653,98980,29673
2025-01-13,Product_2,95838,76839,18999
2025-01-13,Product_3,4566,2238,2328
2025-01-13,Product_4,114532,89750,24782
2025-01-13,Product_5,44691,35281,9410
2025-01-13,Product_6,33374,26183,7191
2025-01-13,Product_7,66056,51795,14261
2025-01-13,Product_8,150502,121179,29323
2025-01-13,Product_9,19239,14903,4336
2025-01-14,Product_1,91040,62792,28248
2025-01-14,Product_10,148679,98980,49699
2025-01-14,Product_2,103734,76839,26895
2025-01-14,Product_3,5009,2238,2771
2025-01-14,Product_4,126755,89750,37005
2025-01-14,Product_5,51538,35281,16257
2025-01-14,Product_6,36431,26183,10248
2025-01-14,Product_7,72692,51795,20897
2025-01-14,Product_8,165666,121179,44487
2025-01-14,Product_9,21154,14903,6251
2025-01-15,Product_1,99557,62792,36765
2025-01-15,Product_10,163448,98980,64468
2025-01-15,Product_2,112903,76839,36064
2025-01-15,Product_3,5522,2238,3284
2025-01-15,Product_4,138957,89750,49207
2025-01-15,Product_5,57367,35281,22086
2025-01-15,Product_6,39077,26183,12894
2025-01-15,Product_7,80645,51795,28850
2025-01-15,Product_8,181902,121179,60723
2025-01-15,Product_9,23848,14903,8945
2025-01-16,Product_1,107435,79129,28306
2025-01-16,Product_10,178177,98980,79197
2025-01-16,Product_2,124017,76839,47178
2025-01-16,Product_3,6012,2238,3774
2025-01-16,Product_4,153090,118173,34917
2025-01-16,Product_5,63299,35281,28018
2025-01-16,Product_6,42913,26183,16730
2025-01-16,Product_7,88813,51795,37018
2025-01-16,Product_8,195403,121179,74224
2025-01-16,Product_9,26424,14903,11521
2025-01-17,Product_1,117835,104530,13305
2025-01-17,Product_10,193382,98980,94402
2025-01-17,Product_2,135281,76839,58442
2025-01-17,Product_3,6447,2238,4209
2025-01-17,Product_4,164532,118173,46359
2025-01-17,Product_5,68872,35281,33591
2025-01-17,Product_6,46095,26183,19912
2025-01-17,Product_7,97328,51795,45533
2025-01-17,Product_8,208583,121179,87404
2025-01-17,Product_9,28600,14903,13697
2025-01-18,Product_1,118265,104530,13735
2025-01-18,Product_10,193967,139949,54018
2025-01-18,Product_2,135826,76839,58987
2025-01-18,Product_3,6481,2238,4243
2025-01-18,Product_4,165170,118173,46997
2025-01-18,Product_5,69160,45827,23333
2025-01-18,Product_6,46275,26183,20092
2025-01-18,Product_7,97781,51795,45986
2025-01-18,Product_8,209501,121179,88322
2025-01-18,Product_9,28704,21105,7599
2025-01-19,Product_1,118677,104530,14147
2025-01-19,Product_10,194611,172352,22259
2025-01-19,Product_2,136239,119697,16542
2025-01-19,Product_3,6514,4400,2114
2025-01-19,Product_4,165687,146715,18972
2025-01-19,Product_5,69467,62620,6847
2025-01-19,Product_6,46486,40604,5882
2025-01-19,Product_7,98092,86720,11372
2025-01-19,Product_8,210433,188065,22368
2025-01-19,Product_9,28811,25281,3530
2025-01-20,Product_1,127041,104530,22511
2025-01-20,Product_10,207381,172352,35029
2025-01-20,Product_2,143096,119697,23399
2025-01-20,Product_3,7118,4400,2718
2025-01-20,Product_4,178664,146715,31949
2025-01-20,Product_5,74303,62620,11683
2025-01-20,Product_6,49958,40604,9354
2025-01-20,Product_7,105274,86720,18554
2025-01-20,Product_8,223613,188065,35548
2025-01-20,Product_9,31064,25281,5783
2025-01-21,Product_1,136592,104530,32062
2025-01-21,Product_10,222566,172352,50214
2025-01-21,Product_2,153692,119697,33995
2025-01-21,Product_3,7563,4400,3163
2025-01-21,Product_4,190845,146715,44130
2025-01-21,Product_5,80543,62620,17923
2025-01-21,Product_6,53939,40604,13335
2025-01-21,Product_7,112465,86720,25745
2025-01-21,Product_8,241371,188065,53306
2025-01-21,Product_9,33770,25281,8489
2025-01-22,Product_1,145936,104530,41406
2025-01-22,Product_10,236066,172352,63714
2025-01-22,Product_2,163473,119697,43776
2025-01-22,Product_3,8147,4400,3747
2025-01-22,Product_4,201668,146715,54953
2025-01-22,Product_5,84928,62620,22308
2025-01-22,Product_6,57620,40604,17016
2025-01-22,Product_7,119549,86720,32829
2025-01-22,Product_8,256699,188065,68634
2025-01-22,Product_9,36094,25281,10813
2025-01-23,Product_1,155357,104530,50827
2025-01-23,Product_10,250238,172352,77886
2025-01-23,Product_2,174742,119697,55045
2025-01-23,Product_3,8715,4400,4315
2025-01-23,Product_4,213449,146715,66734
2025-01-23,Product_5,90731,62620,28111
2025-01-23,Product_6,61869,40604,21265
2025-01-23,Product_7,126049,86720,39329
2025-01-23,Product_8,273046,188065,84981
2025-01-23,Product_9,38522,25281,13241
2025-01-24,Product_1,164817,104530,60287
2025-01-24,Product_10,266411,172352,94059
2025-01-24,Product_2,186413,119697,66716
2025-01-24,Product_3,9269,4400,4869
2025-01-24,Product_4,225343,169547,55796
2025-01-24,Product_5,96419,62620,33799
2025-01-24,Product_6,66010,40604,25406
2025-01-24,Product_7,131654,86720,44934
2025-01-24,Product_8,289700,188065,101635
2025-01-24,Product_9,41099,25281,15818
2025-01-25,Product_1,165405,123909,41496
2025-01-25,Product_10,267197,237107,30090
2025-01-25,Product_2,186953,119697,67256
2025-01-25,Product_3,9300,4400,4900
2025-01-25,Product_4,225931,169547,56384
2025-01-25,Product_5,96671,71724,24947
2025-01-25,Product_6,66183,57900,8283
2025-01-25,Product_7,132020,118034,13986
2025-01-25,Product_8,290596,230693,59903
2025-01-25,Product_9,41190,31383,9807
2025-01-26,Product_1,165823,146777,19046
2025-01-26,Product_10,267877,237107,30770
2025-01-26,Product_2,187543,165746,21797
2025-01-26,Product_3,9329,6864,2465
2025-01-26,Product_4,226707,199715,26992
2025-01-26,Product_5,96948,87465,9483
2025-01-26,Product_6,66372,57900,8472
2025-01-26,Product_7,132340,118034,14306
2025-01-26,Product_8,291387,261860,29527
2025-01-26,Product_9,41312,36304,5008
2025-01-27,Product_1,174063,146777,27286
2025-01-27,Product_10,280442,237107,43335
2025-01-27,Product_2,198514,165746,32768
2025-01-27,Product_3,9909,6864,3045
2025-01-27,Product_4,238813,199715,39098
2025-01-27,Product_5,101993,87465,14528
2025-01-27,Product_6,70863,57900,12963
2025-01-27,Product_7,139678,118034,21644
2025-01-27,Product_8,310346,261860,48486
2025-01-27,Product_9,43417,36304,7113
2025-01-28,Product_1,181911,146777,35134
2025-01-28,Product_10,296813,237107,59706
2025-01-28,Product_2,209981,165746,44235
2025-01-28,Product_3,10481,6864,3617
2025-01-28,Product_4,250668,199715,50953
2025-01-28,Product_5,106670,87465,19205
2025-01-28,Product_6,74982,57900,17082
2025-01-28,Product_7,146070,118034,28036
2025-01-28,Product_8,326746,261860,64886
2025-01-28,Product_9,44790,36304,8486
2025-01-29,Product_1,191690,146777,44913
2025-01-29,Product_10,312449,237107,75342
2025-01-29,Product_2,219495,165746,53749
2025-01-29,Product_3,11031,6864,4167
2025-01-29,Product_4,259114,199715,59399
2025-01-29,Product_5,111955,87465,24490
2025-01-29,Product_6,78061,57900,20161
2025-01-29,Product_7,152138,118034,34104
2025-01-29,Product_8,343911,261860,82051
2025-01-29,Product_9,46294,36304,9990
2025-01-30,Product_1,202173,146777,55396
2025-01-30,Product_10,323099,237107,85992
2025-01-30,Product_2,229861,165746,64115
2025-01-30,Product_3,11415,6864,4551
2025-01-30,Product_4,269800,199715,70085
2025-01-30,Product_5,116618,99962,16656
2025-01-30,Product_6,82345,57900,24445
2025-01-30,Product_7,159671,118034,41637
2025-01-30,Product_8,357665,261860,95805
2025-01-30,Product_9,48168,36304,11864
2025-01-31,Product_1,210998,146777,64221
2025-01-31,Product_10,336489,237107,99382
2025-01-31,Product_2,240845,212541,28304
2025-01-31,Product_3,11946,9183,2763
2025-01-31,Product_4,281672,199715,81957
2025-01-31,Product_5,122486,99962,22524
2025-01-31,Product_6,85616,57900,27716
2025-01-31,Product_7,167123,118034,49089
2025-01-31,Product_8,378502,261860,116642
2025-01-31,Product_9,50560,36304,14256
2025-02-01,Product_1,211391,173639,37752
2025-02-01,Product_10,337210,237107,100103
2025-02-01,Product_2,241445,212541,28904
2025-02-01,Product_3,11970,9183,2787
2025-02-01,Product_4,282227,199715,82512
2025-02-01,Product_5,122718,99962,22756
2025-02-01,Product_6,85853,57900,27953
2025-02-01,Product_7,167520,118034,49486
2025-02-01,Product_8,379346,261860,117486
2025-02-01,Product_9,50673,36304,14369
2025-02-02,Product_1,211785,188858,22927
2025-02-02,Product_10,337997,299061,38936
2025-02-02,Product_2,241948,212541,29407
2025-02-02,Product_3,11991,9183,2808
2025-02-02,Product_4,282975,248424,34551
2025-02-02,Product_5,123029,110532,12497
2025-02-02,Product_6,86079,75975,10104
2025-02-02,Product_7,168005,150679,17326
2025-02-02,Product_8,380220,341229,38991
2025-02-02,Product_9,50787,44418,6369
2025-02-03,Product_1,221681,188858,32823
2025-02-03,Product_10,354032,299061,54971
2025-02-03,Product_2,253499,212541,40958
2025-02-03,Product_3,12651,9183,3468
2025-02-03,Product_4,295079,248424,46655
2025-02-03,Product_5,127653,110532,17121
2025-02-03,Product_6,90172,75975,14197
2025-02-03,Product_7,175627,150679,24948
2025-02-03,Product_8,392214,341229,50985
2025-02-03,Product_9,53663,44418,9245
2025-02-04,Product_1,231716,188858,42858
2025-02-04,Product_10,368762,299061,69701
2025-02-04,Product_2,263800,212541,51259
2025-02-04,Product_3,13315,9183,4132
