Client,Ship,ArrivalDate,Deadline,Product,Quantity,WindowDays,Factory,Axis,Berth,ShipSubClass,ShipDeadWeight,EffectiveLoadRate,LoadingDaysNeeded,FitsBerth,ShipCanCarry,CanLoadInTime,Feasible
Client_10,Ship_10,2025-01-01,2025-01-04,Product_8,23796,3,Factory_4,Axis_4,Q2A,Type_2_small,29000,23000,2,True,True,True,True
Client_2,Ship_2,2025-01-01,2025-01-05,Product_1,14454,4,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_6,Ship_6,2025-01-01,2025-01-05,Product_5,12132,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,2,True,True,True,True
Client_7,Ship_7,2025-01-01,2025-01-05,Product_6,9754,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_8,Ship_8,2025-01-01,2025-01-04,Product_7,17939,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_1,Ship_1,2025-01-02,2025-01-05,Product_1,7990,3,Factory_1,Axis_1,Q1A,Type_1_medium,13000,11000,1,True,True,True,True
Client_11,Ship_11,2025-01-02,2025-01-05,Product_9,3640,3,Factory_5,Axis_5,Q2B,Type_1_small,5000,11000,1,True,True,True,True
Client_12,Ship_12,2025-01-02,2025-01-05,Product_9,2112,3,Factory_5,Axis_5,Q2B,Type_1_small,5000,11000,1,True,True,True,True
Client_13,Ship_13,2025-01-02,2025-01-05,Product_10,13890,3,Factory_5,Axis_5,Q2B,Type_1_large,21000,11000,2,True,True,True,True
Client_14,Ship_14,2025-01-02,2025-01-05,Product_10,22135,3,Factory_5,Axis_5,Q2B,Type_2_small,29000,23000,1,True,True,True,True
Client_3,Ship_3,2025-01-02,2025-01-05,Product_2,31530,3,Factory_1,Axis_1,Q1A,Type_2_medium,37000,23000,2,True,True,True,True
Client_4,Ship_4,2025-01-02,2025-01-05,Product_4,16374,3,Factory_2,Axis_2,Q1B,Type_1_large,21000,11000,2,True,True,True,True
Client_5,Ship_5,2025-01-02,2025-01-05,Product_4,18025,3,Factory_2,Axis_2,Q1B,Type_1_large,21000,11000,2,True,True,True,True
Client_9,Ship_9,2025-01-02,2025-01-05,Product_8,24821,3,Factory_4,Axis_4,Q2A,Type_2_small,29000,23000,2,True,True,True,True
Client_15,Ship_15,2025-01-06,2025-01-12,Product_1,40348,6,Factory_1,Axis_1,Q1A,Type_2_large,45000,23000,2,True,True,True,True
Client_17,Ship_17,2025-01-06,2025-01-11,Product_3,2238,5,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_18,Ship_18,2025-01-06,2025-01-09,Product_4,27751,3,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_2,Ship_22,2025-01-06,2025-01-10,Product_6,7818,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_4,Ship_24,2025-01-06,2025-01-10,Product_7,19073,4,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_6,Ship_26,2025-01-06,2025-01-12,Product_9,9151,6,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_19,Ship_19,2025-01-07,2025-01-11,Product_4,27600,4,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_20,Ship_20,2025-01-07,2025-01-10,Product_5,23149,3,Factory_3,Axis_3,Q1C,Type_2_small,29000,23000,2,True,True,True,True
Client_3,Ship_23,2025-01-07,2025-01-10,Product_7,14783,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
